name,simbol,market_cap,price,circulating_supply,volume,one_hour,one_day,one_week
Bitcoin,BTC,166153498260,9216.56,18027712.0,20286487834,0.00693389,-1.10687,-3.96208
Ethereum,ETH,19757641552,182.25,108411338.249,8692739942,0.206518,-1.03213,-1.53177
XRP,XRP,12596752740,0.291267,43248091671.0,1366095790,-0.0509641,-1.71162,-2.06844
Bitcoin Cash,BCH,5202994714,287.57,18093200.0,2499617966,0.126871,-1.39489,9.26891
Tether,USDT,4137580204,1.01,4108044456.1,23761791751,0.0393912,0.34827,0.762593
Litecoin,LTC,3700824890,58.19,63600808.2778,3199607166,-0.00328789,-0.914633,-3.64491
Binance Coin,BNB,3120792212,20.06,155536713.0,259916958,-0.00983382,-1.04603,3.85615
EOS,EOS,3054822568,3.25,938637860.528,1724153887,0.00542464,-2.01884,-3.01855
Bitcoin SV,BSV,2324120138,128.63,18068415.0,616766311,0.0942685,-3.22466,-9.62414
Stellar,XLM,1371798793,0.068403,20054779654.2,313497120,-0.799298,-2.96832,6.33659
TRON,TRX,1307955857,0.019615,66682072191.4,839976431,0.172576,-2.23613,1.75912
Monero,XMR,1106689052,64.01,17288193.9871,230585225,-1.15914,2.89411,6.791
Cardano,ADA,1086416730,0.041903,25927070538.0,36846720,0.065124,-1.0607,-1.56923
UNUS SED LEO,LEO,1006012806,1.01,999498892.9,7030984,-0.0511112,-0.245808,2.10338
Huobi Token,HT,938779424,3.89,241284046.972,103995415,0.27126,-1.43342,7.09477
Chainlink,LINK,931673783,2.66,350000000.0,97209570,-0.216804,-2.10904,-0.973084
NEO,NEO,776522595,11.01,70538831.0,457517248,-0.414189,-0.722224,-5.75599
IOTA,MIOTA,754425475,0.271422,2779530283.0,4009553,-0.598353,-1.2592,-0.531656
Dash,DASH,652225113,71.4,9134909.65761,271212519,-0.122078,-1.1188,-1.36738
Cosmos,ATOM,651015404,3.41,190688439.2,135997111,0.0442106,-0.0622668,6.16248
Tezos,XTZ,570240940,0.863513,660373611.973,10728712,0.808088,-0.697293,0.649042
Ethereum Classic,ETC,561542798,4.89,114790998.0,518047273,0.117132,-1.65309,1.50437
